Title,Publication Day,Publication Month,Publication Year,Journal Name,Journal Volume,Journal ISSN,Author 1 First Name,Author 1 Last Name,Author 1 Affiliation,Author 2 First Name,Author 2 Last Name,Author 2 Affiliation,Author 3 First Name,Author 3 Last Name,Author 3 Affiliation,Author 4 First Name,Author 4 Last Name,Author 4 Affiliation,Journal Issue,Author 5 First Name,Author 5 Last Name,Author 5 Affiliation,Author 6 First Name,Author 6 Last Name,Author 6 Affiliation,Author 7 First Name,Author 7 Last Name,Author 7 Affiliation,Author 8 First Name,Author 8 Last Name,Author 8 Affiliation,Author 9 First Name,Author 9 Last Name,Author 9 Affiliation,Author 10 First Name,Author 10 Last Name,Author 10 Affiliation,Author 11 First Name,Author 11 Last Name,Author 11 Affiliation,Author 12 First Name,Author 12 Last Name,Author 12 Affiliation,Author 13 First Name,Author 13 Last Name,Author 13 Affiliation,Author 14 First Name,Author 14 Last Name,Author 14 Affiliation,Author 15 First Name,Author 15 Last Name,Author 15 Affiliation,Author 16 First Name,Author 16 Last Name,Author 16 Affiliation,Author 17 First Name,Author 17 Last Name,Author 17 Affiliation,Author 18 First Name,Author 18 Last Name,Author 18 Affiliation,Author 19 First Name,Author 19 Last Name,Author 19 Affiliation,Author 20 First Name,Author 20 Last Name,Author 20 Affiliation,Author 21 First Name,Author 21 Last Name,Author 21 Affiliation,Author 22 First Name,Author 22 Last Name,Author 22 Affiliation,Author 23 First Name,Author 23 Last Name,Author 23 Affiliation,Author 24 First Name,Author 24 Last Name,Author 24 Affiliation,Author 25 First Name,Author 25 Last Name,Author 25 Affiliation,Author 26 First Name,Author 26 Last Name,Author 26 Affiliation,Author 27 First Name,Author 27 Last Name,Author 27 Affiliation,Author 28 First Name,Author 28 Last Name,Author 28 Affiliation,Author 29 First Name,Author 29 Last Name,Author 29 Affiliation,Collective Author 1
"varying association of laboratory values with reference ranges and outcomes in critically ill patients: an analysis of data from five databases in four countries across asia, europe and north america",XX,10,2021,BMJ health & care informatics,28,2632-1009,Haoran,Xu,"School of Medicine, Chinese PLA General Hospital, Beijing, China.",Louis,Agha-Mir-Salim,"Laboratory for Computational Physiology, Harvard-MIT Division of Health Sciences and Technology, Cambridge, Massachusetts, USA mirsalim@mit.edu.",Zachary,O'Brien,"School of Public Health and Preventive Medicine, Monash University, Melbourne, Victoria, Australia.",Dora C,Huang,"Department of Internal Medicine, Beth Israel Deaconess Medical Center, Boston, Massachusetts, USA.",1,Peiyao,Li,"Global Health Drug Discovery Institute, Beijing, China.",Josep,Gómez,"Department of Intensive Care Medicine, Joan XXIII University Hospital in Tarragona, Tarragona, Catalunya, Spain.",Xiaoli,Liu,"Laboratory for Computational Physiology, Harvard-MIT Division of Health Sciences and Technology, Cambridge, Massachusetts, USA.",Tongbo,Liu,"Information Department, Chinese PLA General Hospital, Beijing, China.",Wesley,Yeung,"Laboratory for Computational Physiology, Harvard-MIT Division of Health Sciences and Technology, Cambridge, Massachusetts, USA.",Patrick,Thoral,"Department of Intensive Care Medicine, Vrije Universiteit Amsterdam, Amsterdam, The Netherlands.",Paul,Elbers,"Department of Intensive Care Medicine, Vrije Universiteit Amsterdam, Amsterdam, The Netherlands.",Zhengbo,Zhang,"Medical Innovation Research Department, Chinese PLA General Hospital, Beijing, China.",María Bodí,Saera,"Department of Intensive Care Medicine, Joan XXIII University Hospital in Tarragona, Tarragona, Catalunya, Spain.",Leo Anthony,Celi,"Laboratory for Computational Physiology, Harvard-MIT Division of Health Sciences and Technology, Cambridge, Massachusetts, USA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
digital signatures for early traumatic brain injury outcome prediction in the intensive care unit,07,10,2021,Scientific reports,11,2045-2322,Anil K,Palepu,"Department of Biomedical Engineering, Whiting School of Engineering, Johns Hopkins University, Baltimore, MD, USA.",Aditya,Murali,"Department of Biomedical Engineering, Whiting School of Engineering, Johns Hopkins University, Baltimore, MD, USA.",Jenna L,Ballard,"Department of Biomedical Engineering, Whiting School of Engineering, Johns Hopkins University, Baltimore, MD, USA.",Robert,Li,"Department of Biomedical Engineering, Whiting School of Engineering, Johns Hopkins University, Baltimore, MD, USA.",1,Samiksha,Ramesh,"Department of Biomedical Engineering, Whiting School of Engineering, Johns Hopkins University, Baltimore, MD, USA.",Hieu,Nguyen,"Department of Biomedical Engineering, Whiting School of Engineering, Johns Hopkins University, Baltimore, MD, USA.",Hanbiehn,Kim,"Department of Biomedical Engineering, Whiting School of Engineering, Johns Hopkins University, Baltimore, MD, USA.",Sridevi,Sarma,"Department of Biomedical Engineering, Whiting School of Engineering, Johns Hopkins University, Baltimore, MD, USA.",Jose I,Suarez,"Department of Anesthesiology and Critical Care Medicine, Johns Hopkins University School of Medicine, Baltimore, MD, USA.",Robert D,Stevens,"Department of Anesthesiology and Critical Care Medicine, Johns Hopkins University School of Medicine, Baltimore, MD, USA. rstevens@jhmi.edu.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
estimated pao<sub>2</sub>: a continuous and noninvasive method to estimate pao<sub>2</sub> and oxygenation index,28,09,2021,Critical care explorations,3,2639-8028,Michaël,Sauthier,,Gaurav,Tuli,"Innovation & Digital Health Accelerator, Boston Children's Hospital, Boston, MA.",Philippe A,Jouvet,"Departments of Pediatrics, Sainte-Justine Hospital, Montreal, QC, Canada.",John S,Brownstein,"Innovation & Digital Health Accelerator, Boston Children's Hospital, Boston, MA.",10,Adrienne G,Randolph,"Department of Anesthesiology, Critical Care and Pain Medicine, Boston Children's Hospital, Boston, MA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acute kidney injury detection using refined and physiological-feature augmented urine output,01,10,2021,Scientific reports,11,2045-2322,Sahar,Alkhairy,"Massachusetts Institute of Technology, Cambridge, MA, USA. saharak@alum.mit.edu.",Leo A,Celi,"Massachusetts Institute of Technology, Cambridge, MA, USA.",Mengling,Feng,"Massachusetts Institute of Technology, Cambridge, MA, USA.",Andrew J,Zimolzak,"Baylor College of Medicine, Houston, TX, USA.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effect of ondansetron on reducing icu mortality in patients with acute kidney injury,30,09,2021,Scientific reports,11,2045-2322,Xiaojiang,Guo,"Department of Pharmaceutical Sciences, Computational Chemical Genomics Screening Center, School of Pharmacy, University of Pittsburgh, 5607 Baum Boulevard, Pittsburgh, PA, 15206, USA.",Xiguang,Qi,"Department of Pharmaceutical Sciences, Computational Chemical Genomics Screening Center, School of Pharmacy, University of Pittsburgh, 5607 Baum Boulevard, Pittsburgh, PA, 15206, USA.",Peihao,Fan,"Department of Pharmaceutical Sciences, Computational Chemical Genomics Screening Center, School of Pharmacy, University of Pittsburgh, 5607 Baum Boulevard, Pittsburgh, PA, 15206, USA.",Michael,Gilbert,"Department of Pharmacy and Therapeutics, School of Pharmacy, University of Pittsburgh, Pittsburgh, PA, 15206, USA.",1,Andrew D,La,"Department of Pharmacy and Therapeutics, School of Pharmacy, University of Pittsburgh, Pittsburgh, PA, 15206, USA.",Zeyu,Liu,"The Dietrich School of Arts & Sciences, University of Pittsburgh, Pittsburgh, PA, 15206, USA.",Richard,Bertz,"Department of Pharmaceutical Sciences, Computational Chemical Genomics Screening Center, School of Pharmacy, University of Pittsburgh, 5607 Baum Boulevard, Pittsburgh, PA, 15206, USA.",John A,Kellum,"The Center for Critical Care Nephrology Department of Critical Care Medicine, School of Medicine, University of Pittsburgh, Pittsburgh, PA, 15206, USA. kellum@pitt.edu.",Yu,Chen,"Eli Lilly and Company, Lilly Corporate Center, Indiana, IN, 46225, USA. yu.chen@lilly.com.",Lirong,Wang,"Department of Pharmaceutical Sciences, Computational Chemical Genomics Screening Center, School of Pharmacy, University of Pittsburgh, 5607 Baum Boulevard, Pittsburgh, PA, 15206, USA. liw30@pitt.edu.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a machine learning sepsis prediction algorithm for intended intensive care unit use (navoy sepsis): proof-of-concept study,30,09,2021,JMIR formative research,5,2561-326X,Inger,Persson,"Department of Statistics, Uppsala University, Uppsala, Sweden.",Andreas,Östling,"Department of Statistics, Uppsala University, Uppsala, Sweden.",Martin,Arlbrandt,"Department of Anaesthesiology and Intensive Care, Södersjukhuset, Stockholm, Sweden.",Joakim,Söderberg,"AlgoDx AB, Stockholm, Sweden.",9,David,Becedas,"AlgoDx AB, Stockholm, Sweden.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feature explanations in recurrent neural networks for predicting risk of mortality in intensive care patients,19,09,2021,Journal of personalized medicine,11,2075-4426,Thanakron,Na Pattalung,"Department of Biological Sciences and Biological Engineering, Faculty of Medicine, Prince of Songkla University, Songkhla 90110, Thailand.",Thammasin,Ingviya,"Department of Familty and Preventive Medicine, Faculty of Medicine, Prince of Songkla University, Songkhla 90110, Thailand.",Sitthichok,Chaichulee,"Department of Biological Sciences and Biological Engineering, Faculty of Medicine, Prince of Songkla University, Songkhla 90110, Thailand.",,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
invasive blood pressure measurement and in-hospital mortality in critically ill patients with hypertension,01,09,2021,Frontiers in cardiovascular medicine,8,2297-055X,Bin,Zhou,"Department of Cardiology, The Third Affiliated Hospital of Sun Yat-sen University, Guangzhou, China.",Liang-Ying,Lin,"Department of Cardiology, The Third Affiliated Hospital of Sun Yat-sen University, Guangzhou, China.",Xiao-Ai,Liu,"Institute of Nursing, Guangdong Food and Drug Vocational College, Guangzhou, China.",Ye-Sheng,Ling,"Department of Cardiology, The Third Affiliated Hospital of Sun Yat-sen University, Guangzhou, China.",,Yuan-Yuan,Zhang,"Department of Cardiology, The Third Affiliated Hospital of Sun Yat-sen University, Guangzhou, China.",An-Qi,Luo,"Department of Nuclear Medicine, National Cancer Center/National Clinical Research Center for Cancer/Cancer Hospital, Chinese Academy of Medical Sciences and Peking Union Medical College, Beijing, China.",Meng-Chun,Wu,"Department of Emergency Medicine, Sun Yat-sen Memorial Hospital of Sun Yat-sen University, Guangzhou, China.",Ruo-Mi,Guo,"Department of Radiology, The Third Affiliated Hospital of Sun Yat-sen University, Guangzhou, China.",Hua-Li,Chen,"Department of Nosocomial Infection Control, The Third Affiliated Hospital of Sun Yat-sen University, Guangzhou, China.",Qi,Guo,"Department of Cardiology, Sun Yat-sen Memorial Hospital of Sun Yat-sen University, Guangzhou, China.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
underweight but not overweight is associated with excess mortality in septic icu patients,16,09,2021,Wiener klinische Wochenschrift,134,1613-7671,Thomas,Danninger,"Department of Anaesthesiology, Perioperative Medicine and Intensive Care Medicine, Paracelsus Medical University of Salzburg, Salzburg, Austria.",Richard,Rezar,"Department of Cardiology, Intensive Care Medicine & Emergency Department, Paracelsus Medical University of Salzburg, 5020, Salzburg, Austria. r.rezar@salk.at.",Behrooz,Mamandipoor,"Fondazione Bruno Kessler Research Institute, Trento, Italy.",Daniel,Dankl,"Department of Anaesthesiology, Perioperative Medicine and Intensive Care Medicine, Paracelsus Medical University of Salzburg, Salzburg, Austria.",3-4,Andreas,Koköfer,"Department of Anaesthesiology, Perioperative Medicine and Intensive Care Medicine, Paracelsus Medical University of Salzburg, Salzburg, Austria.",Christian,Jung,"Medical Faculty, Division of Cardiology, Pulmonology and Vascular Medicine, University Hospital Düsseldorf, Heinrich-Heine-University Düsseldorf, Düsseldorf, Germany.",Bernhard,Wernly,"Department of Anaesthesiology, Perioperative Medicine and Intensive Care Medicine, Paracelsus Medical University of Salzburg, Salzburg, Austria.",Venet,Osmani,"Fondazione Bruno Kessler Research Institute, Trento, Italy.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development and external verification of a nomogram for patients with persistent acute kidney injury in the intensive care unit,29,08,2021,International journal of general medicine,14,1178-7074,Chao,Ding,"Department of Hematology, Suining Central Hospital, An Affiliated Hospital of Chongqing Medical University, Suining, Sichuan Province, People's Republic of China.",Tianyang,Hu,"Department of Cardiology, The Second Affiliated Hospital of Chongqing Medical University, Chongqing, People's Republic of China.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
utilizing machine learning to improve clinical trial design for acute respiratory distress syndrome,09,09,2021,NPJ digital medicine,4,2398-6352,E,Schwager,"Philips Research North America, Cambridge, MA, USA.",K,Jansson,"Research & Development, Pharmaceuticals, Bayer AG, Wuppertal, Germany.",A,Rahman,"Philips Research North America, Cambridge, MA, USA.",S,Schiffer,"Research & Development, Pharmaceuticals, Bayer AG, Wuppertal, Germany.",1,Y,Chang,"Philips Research North America, Cambridge, MA, USA.",G,Boverman,"Philips Research North America, Cambridge, MA, USA.",B,Gross,"Philips Research North America, Cambridge, MA, USA.",M,Xu-Wilson,"Philips Research North America, Cambridge, MA, USA.",P,Boehme,"Research & Development, Pharmaceuticals, Bayer AG, Wuppertal, Germany.",H,Truebel,"Research & Development, Pharmaceuticals, Bayer AG, Wuppertal, Germany. Hubert.truebel@uni-wh.de.",J J,Frassica,"Philips Research North America, Cambridge, MA, USA. Joe.frassica@philips.com.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
identification of distinct clinical phenotypes of acute respiratory distress syndrome with differential responses to treatment,30,08,2021,"Critical care (London, England)",25,1466-609X,Xiaowei,Liu,"Department of Critical Care Medicine, First Affiliated Hospital of Harbin Medical University, 23 Postal Street, Nangang District, Harbin, 150001, Heilongjiang, China.",Yusheng,Jiang,"LinkDoc AI Lab, LinkDoc Technology, Floor 11, Sinosteel Plaza, 8 Haidian Street, Haidian District, Beijing, 100080, China.",Xiaonan,Jia,"Department of Critical Care Medicine, First Affiliated Hospital of Harbin Medical University, 23 Postal Street, Nangang District, Harbin, 150001, Heilongjiang, China.",Xiaohui,Ma,"Department of Critical Care Medicine, First Affiliated Hospital of Harbin Medical University, 23 Postal Street, Nangang District, Harbin, 150001, Heilongjiang, China.",1,Ci,Han,"Department of Critical Care Medicine, First Affiliated Hospital of Harbin Medical University, 23 Postal Street, Nangang District, Harbin, 150001, Heilongjiang, China.",Nana,Guo,"Department of Critical Care Medicine, Harbin Medical University Cancer Hospital, 150 Haping Road, Nangang District, Harbin, 150081, Heilongjiang, China.",Yahui,Peng,"Department of Critical Care Medicine, First Affiliated Hospital of Harbin Medical University, 23 Postal Street, Nangang District, Harbin, 150001, Heilongjiang, China.",Haitao,Liu,"Department of Critical Care Medicine, Harbin Medical University Cancer Hospital, 150 Haping Road, Nangang District, Harbin, 150081, Heilongjiang, China.",Yingnan,Ju,"Department of Critical Care Medicine, Harbin Medical University Cancer Hospital, 150 Haping Road, Nangang District, Harbin, 150081, Heilongjiang, China.",Xiangfeng,Luo,"LinkDoc AI Lab, LinkDoc Technology, Floor 11, Sinosteel Plaza, 8 Haidian Street, Haidian District, Beijing, 100080, China.",Xueting,Li,"Department of Critical Care Medicine, Harbin Medical University Cancer Hospital, 150 Haping Road, Nangang District, Harbin, 150081, Heilongjiang, China.",Yue,Bu,"Department of Critical Care Medicine, First Affiliated Hospital of Harbin Medical University, 23 Postal Street, Nangang District, Harbin, 150001, Heilongjiang, China.",Jin,Zhang,"Department of Critical Care Medicine, First Affiliated Hospital of Harbin Medical University, 23 Postal Street, Nangang District, Harbin, 150001, Heilongjiang, China.",Yansong,Liu,"Department of Critical Care Medicine, First Affiliated Hospital of Harbin Medical University, 23 Postal Street, Nangang District, Harbin, 150001, Heilongjiang, China.",Yan,Gao,"Department of Critical Care Medicine, Forth Affiliated Hospital of Harbin Medical University, 37 Yiyuan Street, Nangang District, Harbin, 150001, Heilongjiang, China.",Mingyan,Zhao,"Department of Critical Care Medicine, First Affiliated Hospital of Harbin Medical University, 23 Postal Street, Nangang District, Harbin, 150001, Heilongjiang, China.",Hongliang,Wang,"Department of Critical Care Medicine, Second Affiliated Hospital of Harbin Medical University, 246 Xuefu Road, Nangang District, Harbin, 150001, Heilongjiang, China.",Ligang,Luo,"LinkDoc AI Lab, LinkDoc Technology, Floor 11, Sinosteel Plaza, 8 Haidian Street, Haidian District, Beijing, 100080, China.",Kaijiang,Yu,"Department of Critical Care Medicine, First Affiliated Hospital of Harbin Medical University, 23 Postal Street, Nangang District, Harbin, 150001, Heilongjiang, China. drkaijiang@163.com.",Changsong,Wang,"Department of Critical Care Medicine, Harbin Medical University Cancer Hospital, 150 Haping Road, Nangang District, Harbin, 150081, Heilongjiang, China. changsongwangicu@163.com.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
more generalizable models for sepsis detection under covariate shift,17,05,2021,AMIA Joint Summits on Translational Science proceedings. AMIA Joint Summits on Translational Science,2021,2153-4063,Jifan,Gao,"University of Wisconsin, School of Medicine and Public Health.",Philip L,Mar,"Saint Louis University, School of Medicine.",Guanhua,Chen,"University of Wisconsin, School of Medicine and Public Health.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the role of machine learning in clinical research: transforming the future of evidence generation,16,08,2021,Trials,22,1745-6215,E Hope,Weissler,"Duke Clinical Research Institute, Duke University School of Medicine, Box 2834, Durham, NC, 27701, USA. Hope.weissler@duke.edu.",Tristan,Naumann,"Microsoft Research, Cambridge, MA, USA.",Tomas,Andersson,"AstraZeneca, Gothenburg, Sweden.",Rajesh,Ranganath,"Courant Institute of Mathematical Science, New York University, New York, NY, USA.",1,Olivier,Elemento,"Englander Institute for Precision Medicine, Weill Cornell Medical College, New York, NY, USA.",Yuan,Luo,"Northwestern University Clinical and Translational Sciences Institute, Northwestern University, Chicago, IL, USA.",Daniel F,Freitag,"Division Pharmaceuticals, Open Innovation and Digital Technologies, Bayer AG, Wuppertal, Germany.",James,Benoit,"University of Alberta, Edmonton, Alberta, Canada.",Michael C,Hughes,"Department of Computer Science, Tufts University, Medford, MA, USA.",Faisal,Khan,"AstraZeneca, Gothenburg, Sweden.",Paul,Slater,"Billion Minds, Inc., Seattle, WA, USA.",Khader,Shameer,"AstraZeneca, Gothenburg, Sweden.",Matthew,Roe,"Verana Health, San Francisco, CA, USA.",Emmette,Hutchison,"AstraZeneca, Gothenburg, Sweden.",Scott H,Kollins,"Duke Clinical Research Institute, Duke University School of Medicine, Box 2834, Durham, NC, 27701, USA.",Uli,Broedl,"Boehringer-Ingelheim, Burlington, Canada.",Zhaoling,Meng,"Sanofi, Cambridge, MA, USA.",Jennifer L,Wong,"Sanofi, Washington, DC, USA.",Lesley,Curtis,"Duke Clinical Research Institute, Duke University School of Medicine, Box 2834, Durham, NC, 27701, USA.",Erich,Huang,"Duke Clinical Research Institute, Duke University School of Medicine, Box 2834, Durham, NC, 27701, USA.",Marzyeh,Ghassemi,"Vector Institute, University of Toronto, Toronto, Ontario, Canada.",,,,,,,,,,,,,,,,,,,,,,,,,
development and validation of a novel blending machine learning model for hospital mortality prediction in icu patients with sepsis,16,08,2021,BioData mining,14,1756-0381,Zhixuan,Zeng,"Department of Emergency Medicine, Second Xiangya Hospital, Central South University, No.139, Middle Renmin Road, Changsha, 410011, Hunan Province, China.",Shuo,Yao,"Department of Emergency Medicine, Second Xiangya Hospital, Central South University, No.139, Middle Renmin Road, Changsha, 410011, Hunan Province, China.",Jianfei,Zheng,"Department of Emergency Medicine, Second Xiangya Hospital, Central South University, No.139, Middle Renmin Road, Changsha, 410011, Hunan Province, China.",Xun,Gong,"Department of Emergency Medicine, Second Xiangya Hospital, Central South University, No.139, Middle Renmin Road, Changsha, 410011, Hunan Province, China. gongxun1246@csu.edu.cn.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the role of glucocorticoids in the treatment of ards: a multicenter retrospective study based on the eicu collaborative research database,26,07,2021,Frontiers in medicine,8,2296-858X,Luming,Zhang,"Intensive Care Unit, The First Affiliated Hospital of Jinan University, Guangzhou, China.",Zichen,Wang,"Department of Public Health, University of California, Irvine, Irvine, CA, United States.",Fengshuo,Xu,"Department of Clinical Research, The First Affiliated Hospital of Jinan University, Guangzhou, China.",Yinlong,Ren,"Intensive Care Unit, The First Affiliated Hospital of Jinan University, Guangzhou, China.",,Hao,Wang,"Department of Statistics, Iowa State University, Ames, IA, United States.",Didi,Han,"Department of Clinical Research, The First Affiliated Hospital of Jinan University, Guangzhou, China.",Jun,Lyu,"Department of Clinical Research, The First Affiliated Hospital of Jinan University, Guangzhou, China.",Haiyan,Yin,"Intensive Care Unit, The First Affiliated Hospital of Jinan University, Guangzhou, China.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"data mining in clinical big data: the frequently used databases, steps, and methodological models",11,08,2021,Military Medical Research,8,2054-9369,Wen-Tao,Wu,"Department of Clinical Research, The First Affiliated Hospital of Jinan University, Tianhe District, 613 W. Huangpu Avenue, Guangzhou, 510632, Guangdong, China.",Yuan-Jie,Li,"Department of Human Anatomy, Histology and Embryology, School of Basic Medical Sciences, Xi'an Jiaotong University Health Science Center, Xi'an, 710061, Shaanxi, China.",Ao-Zi,Feng,"Department of Clinical Research, The First Affiliated Hospital of Jinan University, Tianhe District, 613 W. Huangpu Avenue, Guangzhou, 510632, Guangdong, China.",Li,Li,"Department of Clinical Research, The First Affiliated Hospital of Jinan University, Tianhe District, 613 W. Huangpu Avenue, Guangzhou, 510632, Guangdong, China.",1,Tao,Huang,"Department of Clinical Research, The First Affiliated Hospital of Jinan University, Tianhe District, 613 W. Huangpu Avenue, Guangzhou, 510632, Guangdong, China.",An-Ding,Xu,"Department of Neurology, The First Affiliated Hospital of Jinan University, Tianhe District, 613 W. Huangpu Avenue, Guangzhou, 510632, Guangdong, China. tlil@jnu.edu.cn.",Jun,Lyu,"Department of Clinical Research, The First Affiliated Hospital of Jinan University, Tianhe District, 613 W. Huangpu Avenue, Guangzhou, 510632, Guangdong, China. lyujun2020@jnu.edu.cn.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
improvement of apache ii score system for disease severity based on xgboost algorithm,06,08,2021,BMC medical informatics and decision making,21,1472-6947,Yan,Luo,"School of Computer Science (National Pilot Software Engineering School) , Beijing University of Posts and Telecommunications, Beijing, 100876, China.",Zhiyu,Wang,"School of Computer Science (National Pilot Software Engineering School) , Beijing University of Posts and Telecommunications, Beijing, 100876, China.",Cong,Wang,"School of Computer Science (National Pilot Software Engineering School) , Beijing University of Posts and Telecommunications, Beijing, 100876, China. wangc@bupt.edu.cn.",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relationship between mean vancomycin trough concentration and mortality in critically ill patients: a multicenter retrospective study,19,07,2021,Frontiers in pharmacology,12,1663-9812,Yanli,Hou,"Department of Critical Care Medicine, the Second Affiliated Hospital of Xi'an Jiaotong University, Xi'an, China.",Jiajia,Ren,"Department of Critical Care Medicine, the Second Affiliated Hospital of Xi'an Jiaotong University, Xi'an, China.",Jiamei,Li,"Department of Critical Care Medicine, the Second Affiliated Hospital of Xi'an Jiaotong University, Xi'an, China.",Xuting,Jin,"Department of Critical Care Medicine, the Second Affiliated Hospital of Xi'an Jiaotong University, Xi'an, China.",,Ya,Gao,"Department of Critical Care Medicine, the Second Affiliated Hospital of Xi'an Jiaotong University, Xi'an, China.",Ruohan,Li,"Department of Critical Care Medicine, the Second Affiliated Hospital of Xi'an Jiaotong University, Xi'an, China.",Jingjing,Zhang,"Department of Critical Care Medicine, the Second Affiliated Hospital of Xi'an Jiaotong University, Xi'an, China.",Xiaochuang,Wang,"Department of Critical Care Medicine, the Second Affiliated Hospital of Xi'an Jiaotong University, Xi'an, China.",Xinyu,Li,"Department of Critical Care Medicine, the Second Affiliated Hospital of Xi'an Medical University, Xi'an, China.",Gang,Wang,"Department of Critical Care Medicine, the Second Affiliated Hospital of Xi'an Jiaotong University, Xi'an, China.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dialysis adequacy predictions using a machine learning method,29,07,2021,Scientific reports,11,2045-2322,Hyung Woo,Kim,"Department of Internal Medicine, Yonsei University College of Medicine, Seoul, Republic of Korea.",Seok-Jae,Heo,"Department of Biostatistics and Computing, Yonsei University Graduate School, Seoul, Republic of Korea.",Jae Young,Kim,"Department of Internal Medicine, Yonsei University College of Medicine, Seoul, Republic of Korea.",Annie,Kim,"Department of Biostatistics and Computing, Yonsei University Graduate School, Seoul, Republic of Korea.",1,Chung-Mo,Nam,"Department of Biostatistics and Computing, Yonsei University Graduate School, Seoul, Republic of Korea. cmnam@yuhs.ac.",Beom Seok,Kim,"Department of Internal Medicine, Yonsei University College of Medicine, Seoul, Republic of Korea. docbsk@yuhs.ac.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
development and validation of a score to predict mortality in icu patients with sepsis: a multicenter retrospective study,29,07,2021,Journal of translational medicine,19,1479-5876,Jie,Weng,"Department of General Practice, The Second Affiliated Hospital and Yuying Children's Hospital of Wenzhou Medical University, Wenzhou, 325027, China.",Ruonan,Hou,"Department of General Practice, The Second Affiliated Hospital and Yuying Children's Hospital of Wenzhou Medical University, Wenzhou, 325027, China.",Xiaoming,Zhou,"Department of General Practice, The Second Affiliated Hospital and Yuying Children's Hospital of Wenzhou Medical University, Wenzhou, 325027, China.",Zhe,Xu,"Department of Emergency Intensive Care Unit, The Second Affiliated Hospital and Yuying Children's Hospital of Wenzhou Medical University, Wenzhou, 325027, China.",1,Zhiliang,Zhou,"Department of General Practice, The Second Affiliated Hospital and Yuying Children's Hospital of Wenzhou Medical University, Wenzhou, 325027, China.",Peng,Wang,"Department of General Practice, The Second Affiliated Hospital and Yuying Children's Hospital of Wenzhou Medical University, Wenzhou, 325027, China.",Liang,Wang,"Department of Public Health, Robbins College of Health and Human Sciences, Baylor University, Waco, TX, USA.",Chan,Chen,"Department of Geriatric Medicine, The First Affiliated Hospital, Wenzhou Medical University, Wenzhou, 325000, China.",Jinyu,Wu,"Institute of Genomic Medicine, Wenzhou Medical University, Wenzhou, 325000, China. iamwujy@gmail.com.",Zhiyi,Wang,"Department of General Practice, The Second Affiliated Hospital and Yuying Children's Hospital of Wenzhou Medical University, Wenzhou, 325027, China. wzy1063@126.com.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
